,中文题名,作者,学位授予单位,数据库,学位授予年度,被引,下载,操作,下载地址
1238,初中数学学困生的成因与转化对策,谭淋洁,华中师范大学,硕士,2019年,,145,下载,https://kns.cnki.net//kns8/download?filename=xI0VwkFU0o0dUlGUNFXc6FzRCZVYkhHTr9UMvwme1RGe2QGTpRUSSVFNZR0QT9SZYNmet1GVRhlcORVeSdmeOlmRKVWdO5ERSFGNBtyYvUldvgUUPF1T0JmT4VlWjFVM4k0YK10NQplYrYWWJZjRoRkZPdGeOF2Q&tablename=CMFD202101
1239,高三复习中三视图还原几何体内容的教学研究与实践,韦永乐,华中师范大学,硕士,2019年,,50,下载,https://kns.cnki.net//kns8/download?filename=xI0VwkFU0o0dUlGUNFXc6FzRCZVYkhHTr9UMvwme1RGe2QGTpRUSSVFNZR0QT9SZYNmet1GVRhlcORVeEZDWsJXYklXVQZkbXJGNBtyYvUldvgUUPF1T0JmT4VlWjFVM4k0YK10NQplYrYWWJZjRoRkZPdGeOF2Q&tablename=CMFD202101
1240,三角形辅助线探究式教学研究,陈琳,华中师范大学,硕士,2019年,,114,下载,https://kns.cnki.net//kns8/download?filename=xI0VwkFU0o0dUlGUNFXc6FzRCZVYkhHTr9UMvwme1RGe2QGTpRUSSVFNZR0QT9SZYNmet1GVRhlcORVe49kb0AnS6J2SjBVbXJGNBtyYvUldvgUUPF1T0JmT4VlWjFVM4k0YK10NQplYrYWWJZjRoRkZPdGeOF2Q&tablename=CMFD202101
1241,高中生自主学习能力与学习成绩的实证研究,林卉芳,华中师范大学,硕士,2019年,,62,下载,https://kns.cnki.net//kns8/download?filename=xI0VwkFU0o0dUlGUNFXc6FzRCZVYkhHTr9UMvwme1RGe2QGTpRUSSVFNZR0QT9SZYNmet1GVRhlcORVea50SMlGTZhHcit2YxlEVSlzYvUldvgUUPF1T0JmT4VlWjFVM4k0YK10NQplYrYWWJZjRoRkZPdGeOF2Q&tablename=CMFD202101
1242,初中数学课堂引入的教学方法与案例研究,周小娟,华中师范大学,硕士,2019年,1,172,下载,https://kns.cnki.net//kns8/download?filename=xI0VwkFU0o0dUlGUNFXc6FzRCZVYkhHTr9UMvwme1RGe2QGTpRUSSVFNZR0QT9SZYNmet1GVRhlcORVeXhkWPh1cul3Qkt2YxlEVSlzYvUldvgUUPF1T0JmT4VlWjFVM4k0YK10NQplYrYWWJZjRoRkZPdGeOF2Q&tablename=CMFD202101
1243,影响高中生高考成绩的因素分析,刘小军,湖南大学,硕士,2019年,1,149,下载,https://kns.cnki.net//kns8/download?filename=xI0VwkFU0o0dUlGUNFXc6FzRCZVYkhHTr9UMvwme1RGe2QGTpRUSSVFNZR0QT9SZYNmet1GVRhlcORVeBdDeDBTOrU1cwgXU1B3MrljcjpGZsdkTSdHd4YlT4VlWjFVM4k0YK10NQplYrYWWJZjRoRkZPdGeOF2Q&tablename=CMFD202101
1244,高中生数学抽象核心素养现状及实施策略研究,李俊,华中师范大学,硕士,2019年,,100,下载,https://kns.cnki.net//kns8/download?filename=xI0VwkFU0o0dUlGUNFXc6FzRCZVYkhHTr9UMvwme1RGe2QGTpRUSSVFNZR0QT9SZYNmet1GVRhlcORVej9EdaBnT0UHd3ZDTvRXbBJHewUjY1N1dD9mW4RlT4VlWjFVM4k0YK10NQplYrYWWJZjRoRkZPdGeOF2Q&tablename=CMFD202101
1245,小学几何“周长和面积”复习课教学研究,郑贝贝,上海师范大学,硕士,2019年,,277,下载,https://kns.cnki.net//kns8/download?filename=xI0VwkFU0o0dUlGUNFXc6FzRCZVYkhHTr9UMvwme1RGe2QGTpRUSSVFNZR0QT9SZYNmet1GVRhlcORVe1t0b2NGOMVDVjRDVyIGMJpFeD10VMJ0RSNjM4k2MuJ1VjFVM4k0YK10NQplYrYWWJZjRoRkZPdGeOF2Q&tablename=CMFD202001
1246,APOS理论下的“数系的扩充与复数的引入”教学研究,张彬,扬州大学,硕士,2019年,2,197,下载,https://kns.cnki.net//kns8/download?filename=xI0VwkFU0o0dUlGUNFXc6FzRCZVYkhHTr9UMvwme1RGe2QGTpRUSSVFNZR0QT9SZYNmet1GVRhlcORVe1QkSF9WU5gVOiR2LDRGN4E2L3NHRwJnaEhlSrp0MuJ1VjFVM4k0YK10NQplYrYWWJZjRoRkZPdGeOF2Q&tablename=CMFD202001
1247,促进数学理解的高中向量概念教学实践研究,高海燕,扬州大学,硕士,2019年,1,165,下载,https://kns.cnki.net//kns8/download?filename=xI0VwkFU0o0dUlGUNFXc6FzRCZVYkhHTr9UMvwme1RGe2QGTpRUSSVFNZR0QT9SZYNmet1GVRhlcORVeIZTc5plawlkciR2LDRGN4E2L3NHRwJnaEhlSrp0MuJ1VjFVM4k0YK10NQplYrYWWJZjRoRkZPdGeOF2Q&tablename=CMFD202001
1248,数学美学思想在高中教学中的渗透,刘倩,华中师范大学,硕士,2019年,,117,下载,https://kns.cnki.net//kns8/download?filename=xI0VwkFU0o0dUlGUNFXc6FzRCZVYkhHTr9UMvwme1RGe2QGTpRUSSVFNZR0QT9SZYNmet1GVRhlcORVeSBnZ3YnSz0mamNEcOJGNBtyYvUldvgUUPF1T0JmT4VlWjFVM4k0YK10NQplYrYWWJZjRoRkZPdGeOF2Q&tablename=CMFD202101
1249,中职生数学素养培养策略研究,万鑫,华中师范大学,硕士,2019年,,35,下载,https://kns.cnki.net//kns8/download?filename=xI0VwkFU0o0dUlGUNFXc6FzRCZVYkhHTr9UMvwme1RGe2QGTpRUSSVFNZR0QT9SZYNmet1GVRhlcORVeC5kU3JlZrN2UQZVRSFGNBtyYvUldvgUUPF1T0JmT4VlWjFVM4k0YK10NQplYrYWWJZjRoRkZPdGeOF2Q&tablename=CMFD202101
1250,高中数学教学方法选取的过程分析,郑大海,华中师范大学,硕士,2019年,,36,下载,https://kns.cnki.net//kns8/download?filename=xI0VwkFU0o0dUlGUNFXc6FzRCZVYkhHTr9UMvwme1RGe2QGTpRUSSVFNZR0QT9SZYNmet1GVRhlcORVe6FkTx9mRxw2Qht2YxlEVSlzYvUldvgUUPF1T0JmT4VlWjFVM4k0YK10NQplYrYWWJZjRoRkZPdGeOF2Q&tablename=CMFD202101

1251,问题导向在高中数学教学中的应用,赖敏,华中师范大学,硕士,2019年,,54,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQ0QUeYNDUXNWcuZWeyYEVwclY5IDerJmezV3Z5h3S2ckNzU3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD202101
1252,初中数学教学中培养学生发散思维有效策略的实践研究,陈佳兰,上海师范大学,硕士,2019年,5,408,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQuFDWsZWUMp1a4MWRvUFZrFkRPdFM1MVcy5EUnlndyh2KzU3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD202001
1253,小学人教版修订教材与实验教材的变化分析,王珣,华中师范大学,硕士,2019年,,80,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQDZ0K0AVSzx2LyJmRSF1csJmTCRVc2AFa1BVdP9CT2ckNzU3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD202101
1254,小学数学教学中培养数感的行动研究,郭莉,华中师范大学,硕士,2019年,1,214,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQ1JGeFBVN3g2TEdXeDF1csJmTCRVc2AFa1BVdP9CT2ckNzU3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD202101
1255,基于核心素养的高中数学试题的测评研究,张杰,江苏师范大学,硕士,2019年,,,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQN1mWEZmRMFEVFZ2LrhGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1256,数学元认知对数学建模能力影响的实证研究,司马燕,江苏师范大学,硕士,2019年,,,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQ180Kxl1U5sSWGZ2LrhGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1257,基于APOS理论的对数函数教学设计研究,郭薇,江苏师范大学,硕士,2019年,,,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQJd1SRh0ZrYVahZ2LrhGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1258,初中生几何思维水平的现状研究,王璐,江苏师范大学,硕士,2019年,,,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQIlUeIpXcaFmdzhXe2hGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1259,基于ACT-R理论的高中数列教学设计研究,孙中乾,江苏师范大学,硕士,2019年,,1,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQGZEO45Ua5YjWhZ2LrhGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1260,苏科版初中数学“阅读材料”教学价值及实施,蒋林倩,江苏师范大学,硕士,2019年,,,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQlpUay0meaVVSQZ2LrhGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1261,初中生二次函数解题错误分析及教学对策研究,陆丹丹,江苏师范大学,硕士,2019年,,,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQZtEcWdnY452aQZ2LrhGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1262,初中生求解动态几何问题思维障碍的研究,徐艳芬,江苏师范大学,硕士,2019年,,,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQ4AFM24mc1o2Ru52LrhGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1263,建构主义学习理论下的圆锥曲线的教学实践研究,吴媛媛,江苏师范大学,硕士,2019年,,,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQ5V0N4oXVRNHbu52LrhGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1264,基于APOS理论高中数学例题的教学研究,朱莉,江苏师范大学,硕士,2019年,,,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQD9ia0YTV3YUMu52LrhGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1265,变异理论指导下圆锥曲线概念教学的实践研究,华子谦,江苏师范大学,硕士,2019年,,,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQ4okdLZTchlGZx52LrhGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1266,高中生数学生成性学习的现状与对策研究,丁姝琪,江苏师范大学,硕士,2019年,,1,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQDtmeHJER1dUQy52LrhGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1267,初中数学教科书的性别差异研究,刘咪,江苏师范大学,硕士,2019年,,1,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQJhEZvg1TvlEex52LrhGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1268,高中数困生转化的个案研究,吴倩倩,江苏师范大学,硕士,2019年,,1,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQXJ1Z0IDSO9SW152LrhGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1269,初中生数学建模能力的调查研究,仲红蕊,江苏师范大学,硕士,2019年,,,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQyUjMDFUNVl2S152LrhGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1270,提升高中生数学归纳推理素养的教学策略研究,季青,江苏师范大学,硕士,2019年,,,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQ2ZGehlWbwdXTzhXe2hGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1271,“四基”视角下苏科版初中数学教材中“数学活动”栏目的教学设计研究,朱超,江苏师范大学,硕士,2019年,,,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQUBjc5F3Q2h2KzhXe2hGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1272,基于思维导图的平面向量教学设计研究,孙冉冉,江苏师范大学,硕士,2019年,,,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQkJXM2hneQ9ydyhXe2hGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1273,基于HPM的数学课堂教学设计及实施,许晴,江苏师范大学,硕士,2019年,,2,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQLxkcYF3MsRlQxhXe2hGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1274,构造的思想方法在数学教学中的实践研究,张孟欣,江苏师范大学,硕士,2019年,,,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQktybJVzbn9SMhZ2LrhGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1275,苏科版初中数学教材中“数学活动”版块的微课设计与应用研究,杨萍萍,江苏师范大学,硕士,2019年,,,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQEFFcCdnYWtGNFZ2LrhGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1276,高三学生函数应用题解题障碍成因分析及对策研究,东炜婷,江苏师范大学,硕士,2019年,,,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQ1U0ZvdUb3NHOzhXe2hGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1277,初中生阅读数学教材现状及其对策研究,徐蓓,江苏师范大学,硕士,2019年,,,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQxFjVapWOYBzUyhXe2hGZVRVY5tEUUdTTSZlbxEURvJkUy92S0dVVHhXWVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFDTEMP
1278,数学表征对发展小学生提出问题能力的作用研究,张欣,贵州师范大学,硕士,2019年,2,244,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQqhGeJVzd2oUWa90Mv90ZUxkNKZGTPdFMNhDckFjdyh2KzU3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD202001
1279,生成性教学对高一学生函数概念学习的作用研究,杨佳林,贵州师范大学,硕士,2019年,1,103,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQ5BFaNtEWs9UWYJjctVzV5dUZG50YYtGewIUemNXdyh2KzU3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD202001
1280,初中生数学建模素养的调查研究,赵红春,重庆三峡学院,硕士,2019年,1,178,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQ4EnYuFlV4U0VHZGRwYkSqR0YupEbQlkSr80KyATdyh2KzU3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD202001
1281,基于学习共同体的中学数学课堂教学设计的研究,郑昌萍,重庆三峡学院,硕士,2019年,2,245,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQlBjeyhEVa9UO3YGRwYkSqR0YupEbQlkSr80KyATdyh2KzU3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD202001
1282,高一学生数学逻辑推理素养现状调查研究,鲜垚楠,重庆三峡学院,硕士,2019年,,116,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQUdjc65GcSZ2MwhGRwYkSqR0YupEbQlkSr80KyATdyh2KzU3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD202001
1283,化错教学在高中数学课堂中的实践研究,刘彬,上海师范大学,硕士,2019年,4,275,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQSVDd3Yma0hmZDNUaEB1br0WZnV0SM1GU3MXSwJDendXUqV3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD201902
1284,翻转课堂教学模式在初中数学教学中的应用研究,封雷,安庆师范大学,硕士,2019年,7,847,下载,https://kns.cnki.net//kns8/download?filename=1J0QTZGNQxmUCd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQ==wLBJVMr02Y0kmVLFmZJV3NWplV5QUazVXTSl3cv5EOqd0LGplbGpGRXlzctVndyh2KzU3aUBDMwh0YVlXTy8mdVlHW&tablename=CMFD202001
1285,基于方程思想的小学五年级学生数学问题解决能力培养研究,黎凯,安庆师范大学,硕士,2019年,4,933,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQwIDMGhlbldXcwZ3aGpHbwMjTXJHOJtGNjRzUnVndyh2KzU3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD202001
1286,基于核心素养的高中概率与统计的教学研究,陈桂德,安庆师范大学,硕士,2019年,11,917,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQmN1TKB3YaZHZlhzaGpHbwMjTXJHOJtGNjRzUnVndyh2KzU3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD202001
1287,新分类学下数学抽象评价模型的构建与应用,郭馨晶,福建师范大学,硕士,2019年,,67,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQTVlcNl3a1RFVWFHO3omSPxENnJXbFN2YBp3VVRkaxh2KzU3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD202002
1288,八年级数学章起始课教学设计研究,甘斐,天水师范学院,硕士,2019年,7,472,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQ24kRMZlUyNlQyMFaWJlaFhXZyFDa29CVhtEdBNzUsdXUqV3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD201902
1289,人教A版与北师大版高中数学教材数列内容的比较研究,全俐绒,天水师范学院,硕士,2019年,8,625,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQ5oHTIRXZLh2MY9WaWJlaFhXZyFDa29CVhtEdBNzUsdXUqV3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD201902
1290,基于性别差异的初中数学教师课堂提问研究,王利霞,天水师范学院,硕士,2019年,5,410,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQKJmMSNFcnJ3cY9WaWJlaFhXZyFDa29CVhtEdBNzUsdXUqV3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD201902
1291,基于核心素养的整式乘除单元教学设计研究,王秋月,天水师范学院,硕士,2019年,10,1230,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQ0JndwFlZ5dnUX9WaWJlaFhXZyFDa29CVhtEdBNzUsdXUqV3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD201902
1292,高中生解三角形学习困难的成因分析及解决策略,王涛,天水师范学院,硕士,2019年,2,373,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQKF0KvMmarUkVY9WaWJlaFhXZyFDa29CVhtEdBNzUsdXUqV3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD201902
1293,初二学生几何推理能力的现状调查及教学对策研究,夏宝丽,天水师范学院,硕士,2019年,2,328,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQ4AVcOpGU0kDRM9WaWJlaFhXZyFDa29CVhtEdBNzUsdXUqV3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD201902
1294,初三学生数学运算能力现状调查研究,杨欢,天水师范学院,硕士,2019年,4,382,下载,https://kns.cnki.net//kns8/download?filename=Cd0Ymp3N1kXRwtiYoVjVoFnUI9mVnV1LSNzVaFGVKlUZt9kYt5kUwMEMmZGeVZjb3UTZ5hVRyB3VoRkQ1QWMp5EVnhDcM9WaWJlaFhXZyFDa29CVhtEdBNzUsdXUqV3aUBDMwh0YVlXTy8mdVlHW1J0QTZGNQxmU&tablename=CMFD201902
